recommender,userId,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,include_hybrid,hybrid_weights,diversity_weight,avg_candidates_per_user
popularity_bayes,25,0.8,0.8,1.0,0.8539316501572937,,,,,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,25,,,,,0.4,0.8,1.0,0.8539316501572937,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,25,0.6,0.6,1.0,0.6992148198508501,,,,,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,25,,,,,0.4,0.8,1.0,0.8062079522181139,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,25,0.2,0.2,1.0,0.3391602052736161,,,,,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,25,,,,,0.1,0.2,1.0,0.3391602052736161,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,25,0.8,0.8,1.0,0.8687949224876582,,,,,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,25,,,,,0.4,0.8,1.0,0.8687949224876582,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,25,0.8,0.8,1.0,0.8687949224876582,,,,,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,25,,,,,0.4,0.8,1.0,0.8687949224876582,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
